,Course Title,Unit Count,Requisites,Course Description
0,3. Material World,5.0,,"3. Material World
Units: 5.0
Lecture, three hours; laboratory, two hours. Focus on most important advances made by humans in developing new molecules and materials, and how these discoveries affect our everyday life. These include development of paints, polymers, metals, fuels, drugs, energetic materials, radioactive substances, poisons, and many more. Connections are made between interplay of science, history, arts, and socio-economic factors driving technological development. Laboratory sections focus on small-scale experiments relevant to everyday life and complimentary to lecture topics. P/NP or letter grading.

"
1,4A. Chemistry and Your Health,2.0,,"4A. Chemistry and Your Health
Units: 2.0
Lecture, two hours. Recent health trends and how they are portrayed in pop culture and media. Examination of scientific explanations behind current health crazes and determination if there is validity to these claims. Discussion of chemical principles, such as basic arrow pushing mechanisms, radical oxidations, etc. Investigation of variety of topics including vitamins, health and beauty supplements, sugar alternatives, detox/cleanses, and traditional medicines. Relevant for students who have taken organic chemistry classes and those who are interested in learning basic organic chemistry concepts. No college-level chemistry is required. P/NP or letter grading.

"
2,4B. What's Cooking Chemistry in the Kitchen,4.0,,"4B. What's Cooking Chemistry in the Kitchen
Units: 4.0
Lecture, three hours. What is difference between baking soda and baking powder? Why do some recipes call for butter, margarine, or shortening? Answers to these questions and more through dive into chemistry happening every day in your kitchen. Study of macromolecules that make up food (carbohydrates, proteins, and lipids), their chemical properties (hydrophobicity, pH, melting point, degree of saturation), and how to use these properties to control texture and taste in food. Chemical concepts are learned in fun, intuitive way, while use of scientific method in improving food preparations is also learned. Opportunities to participate in scientific process through weekly at home experiments in kitchen, and creative research project. P/NP or letter grading.

"
3,7. Nanoscience and Nanotechnology Laboratory,2.0,,"7. Nanoscience and Nanotechnology Laboratory
Units: 2.0
Seminar, discussion, and laboratory, 32 hours. Limited to high school students. Key concepts of nanoscience and nanotechnology, including various approaches to nanofabrication (bottom-up and top-down). Fabrication of nanostructures and devices, collection of scientific data using those devices, analysis of data, and presentations of student results. Offered in summer only. P/NP grading.

"
4,8. Applications of Nanoscience,2.0 to 4.0,,"8. Applications of Nanoscience
Units: 2.0 to 4.0
Seminar, discussion, laboratory, and field trip, 30 to 60 hours. Limited to high school students. Introduction of advanced concepts of nanoscience and nanotechnology, with emphasis on applications of nanoscience and nanotechnology in other research fields and industries. Laboratories introduce students to research methods, experiment development, scientific writing, and presentation skills. Students devise and execute their own exploratory nanoscience experiments, and present them to technical audience. Offered only as part of Summer Institute. P/NP grading.

"
5,14A. General Chemistry for Life Scientists I,4.0,high school chemistry or equivalent background and three and one half years of high school mathematics completion of Chemistry Diagnostic Test,"14A. General Chemistry for Life Scientists I
Units: 4.0
Lecture, three hours; discussion, one hour. Preparation: high school chemistry or equivalent background and three and one half years of high school mathematics. Requisite: completion of Chemistry Diagnostic Test. Enforced corequisite: Life Sciences 30A or Mathematics 3A or 31A or score of 48 or better on Mathematics Diagnostic Test. Not open to students with credit for course 20A. Introduction to physical and general chemistry principles; atomic structure based on quantum mechanics; atomic properties; trends in periodic table; chemical bonding (Lewis structures, VSEPR theory, hybridization, and molecular orbital theory); coordination compounds; properties of inorganic and organic acids, bases, buffers. P/NP or letter grading.

"
6,14AE. General Chemistry for Life Scientists I--Enhanced,4.0,high school chemistry or equivalent background and three and one half years of high school mathematics completion of Chemistry Diagnostic Test,"14AE. General Chemistry for Life Scientists I--Enhanced
Units: 4.0
Lecture, three hours; discussion, two hours. Preparation: high school chemistry or equivalent background and three and one half years of high school mathematics. Requisite: completion of Chemistry Diagnostic Test. Enforced corequisite: Life Sciences 30A or Mathematics 3A or 31A or score of 48 or better on Mathematics Diagnostic Test. Not open to students with credit for course 14A or 20A. Study of foundations of chemistry. Discussion of foundations of quantum mechanics and how these principles can be used to understand atomic and molecular structure and properties; how molecules interact; and properties of inorganic, organic, and biological acids, bases, and salts. Biological, environmental, and socially-relevant examples are used to illustrate central role that chemistry plays in our world. Emphasis on developing problem-solving skills and collaborative interaction and learning. P/NP or letter grading.

"
7,14B. General Chemistry for Life Scientists II,4.0,one course from 14A 14AE 20A or 20AH with grade of C- or better Life Sciences 30B or Mathematics 3B or 31B with grade of C- or better,"14B. General Chemistry for Life Scientists II
Units: 4.0
Lecture, three hours; discussion, one hour. Enforced requisite: one course from 14A, 14AE, 20A, or 20AH with grade of C- or better. Enforced requisite or corequisite: Life Sciences 30B or Mathematics 3B or 31B with grade of C- or better. Not open to students with credit for course 14BE, 20B, or 20BH. Chemical equilibria in gases and liquids, acid-base equilibrium; phase changes; thermochemistry; first, second, and third laws of thermodynamics; free energy changes; electrochemistry and its role as energy source; chemical kinetics, including catalysis, and reaction mechanisms. P/NP or letter grading.

"
8,14BE. General Chemistry for Life Scientists II--Enhanced,4.0,one course from 14A 14AE 20A or 20AH with grade of C- or better Life Sciences 30B or Mathematics 3B or 31B with grade of C- or better,"14BE. General Chemistry for Life Scientists II--Enhanced
Units: 4.0
Lecture, three hours; discussion, two hours. Enforced requisite: one course from 14A, 14AE, 20A, or 20AH with grade of C- or better. Enforced requisite or corequisite: Life Sciences 30B or Mathematics 3B or 31B with grade of C- or better. Not open to students with credit for course 14B, 20B, or 20BH. Introduction to concepts in thermodynamics and kinetics that are critical for understanding of molecular basis of life. Chemical equilibria in gases and liquids, acid-base equilibrium; phase changes; thermochemistry; first, second, and third laws of thermodynamics; free energy changes; electrochemistry; chemical kinetics, including catalysis, and reaction mechanisms. Emphasis on developing problem-solving skills and collaborative interaction and learning. P/NP or letter grading.

"
9,14BL. General and Organic Chemistry Laboratory I,3.0,Chemistry and Biochemistry 14A or 20A or 20AH with grade of C- or better course 14B,"14BL. General and Organic Chemistry Laboratory I
Units: 3.0
Lecture, one hour; laboratory, three hours. Enforced requisite: course 14A or 20A or 20AH with grade of C- or better. Enforced corequisite: course 14B. Not open to students with credit for course 20L. Introduction to volumetric, spectrophotometric, and potentiometric analysis. Use and preparation of buffers and pH meters. Synthesis and kinetics techniques using compounds of interest to students in life sciences. P/NP or letter grading.

"
