Department,Link to Courses
Aerospace Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Aerospace+Studies
African American Studies,https://registrar.ucla.edu/academics/course-descriptions?search=African+American+Studies
African Studies,https://registrar.ucla.edu/academics/course-descriptions?search=African+Studies
American Indian Studies,https://registrar.ucla.edu/academics/course-descriptions?search=American+Indian+Studies
American Sign Language,https://registrar.ucla.edu/academics/course-descriptions?search=American+Sign+Language
Ancient Near East,https://registrar.ucla.edu/academics/course-descriptions?search=Ancient+Near+East
Anesthesiology,https://registrar.ucla.edu/academics/course-descriptions?search=Anesthesiology
Anthropology,https://registrar.ucla.edu/academics/course-descriptions?search=Anthropology
Applied Chemical Sciences,https://registrar.ucla.edu/academics/course-descriptions?search=Applied+Chemical+Sciences
Applied Linguistics,https://registrar.ucla.edu/academics/course-descriptions?search=Applied+Linguistics
Arabic,https://registrar.ucla.edu/academics/course-descriptions?search=Arabic
Archaeology,https://registrar.ucla.edu/academics/course-descriptions?search=Archaeology
Architecture and Urban Design,https://registrar.ucla.edu/academics/course-descriptions?search=Architecture+and+Urban+Design
Armenian,https://registrar.ucla.edu/academics/course-descriptions?search=Armenian
Art,https://registrar.ucla.edu/academics/course-descriptions?search=Art
Art History,https://registrar.ucla.edu/academics/course-descriptions?search=Art+History
Arts and Architecture,https://registrar.ucla.edu/academics/course-descriptions?search=Arts+and+Architecture
Arts Education,https://registrar.ucla.edu/academics/course-descriptions?search=Arts+Education
Asian,https://registrar.ucla.edu/academics/course-descriptions?search=Asian
Asian American Studies,https://registrar.ucla.edu/academics/course-descriptions?search=Asian+American+Studies
Astronomy,https://registrar.ucla.edu/academics/course-descriptions?search=Astronomy
Atmospheric and Oceanic Sciences,https://registrar.ucla.edu/academics/course-descriptions?search=Atmospheric+and+Oceanic+Sciences
Bioengineering,https://registrar.ucla.edu/academics/course-descriptions?search=Bioengineering
Bioinformatics (Graduate),https://registrar.ucla.edu/academics/course-descriptions?search=Bioinformatics+(Graduate)
Bioinformatics (Undergraduate),https://registrar.ucla.edu/academics/course-descriptions?search=Bioinformatics+(Undergraduate)
