,Major,Link
0,African American Studies (B.A.),https://newstudents.ucla.edu/studyarea/?id=40
1,African and Middle Eastern Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=49B
2,American Indian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=030
3,American Literature and Culture (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=761
4,Ancient Near East and Egyptology (B.A.),http://newstudents.ucla.edu/studyarea/?id=41
5,Anthropology (B.A.),http://newstudents.ucla.edu/studyarea/?id=42
6,Anthropology (B.S.),http://newstudents.ucla.edu/studyarea/?id=43
7,Arabic (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=081
8,Art History (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=093
9,Asian American Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=100
10,Asian Humanities (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=442
11,Asian Languages and Linguistics (B.A.),http://newstudents.ucla.edu/studyarea/?id=408
12,Asian Religions (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=443
13,Asian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=241
14,Astrophysics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=101
15,Atmospheric and Oceanic Sciences (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=589
16,Atmospheric and Oceanic Sciences/Mathematics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=54B
17,Biochemistry (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=111
18,Biology (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=123
19,Biophysics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=126
20,Business Economics (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=144
21,Central and East European Languages and Cultures (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=845
22,Chemistry (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=153
23,Chemistry/Materials Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=155
24,Chicana and Chicano Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=626
25,Chinese (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=162
26,Classical Civilization (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=169
27,Climate Science (B.S.),http://newstudents.ucla.edu/studyarea/?id=414
28,Cognitive Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=179
29,Communication (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=181
30,Comparative Literature (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=192
31,Computational and Systems Biology (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=208
32,Earth and Environmental Science (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=01C
33,"Ecology, Behavior, and Evolution (B.S.)",http://newstudents.ucla.edu/studyarea/?type=MAJ&code=122
34,Economics (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=246
35,English (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=345
36,Environmental Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=0351
37,European Languages and Transcultural Studies with French and Francophone (B.A.),https://newstudents.ucla.edu/studyarea/?id=437
38,European Languages and Transcultural Studies with German (B.A.),https://newstudents.ucla.edu/studyarea/?id=439
39,European Languages and Transcultural Studies with Italian (B.A.),https://newstudents.ucla.edu/studyarea/?id=440
40,European Languages and Transcultural Studies with Scandinavian (B.A.),https://newstudents.ucla.edu/studyarea/?id=441
41,European Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=762
42,Gender Studies (B.A.),https://newstudents.ucla.edu/studyarea/?id=363
43,Geography (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=396
44,Geography/Environmental Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=491
45,Geology (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=402
46,Geology/Engineering Geology (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=398
47,Geophysics (B.S.),https://newstudents.ucla.edu/studyarea/?id=402
48,Global Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=492
49,Greek (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=414
50,Greek and Latin (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=625
51,History (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=429
52,Human Biology and Society (B.A.),https://newstudents.ucla.edu/studyarea/?id=325
53,Human Biology and Society (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=055
54,International Development Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=991
55,Iranian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=464
56,Japanese (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=480
57,Jewish Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=482
58,Korean (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=818
59,Labor Studies (B.A.),http://newstudents.ucla.edu/studyarea/?id=36
60,Latin (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=495
