,Major
0,African American Studies (B.A.)
1,African and Middle Eastern Studies (B.A.)
2,American Indian Studies (B.A.)
3,American Literature and Culture (B.A.)
4,Ancient Near East and Egyptology (B.A.)
5,Anthropology (B.A.)
6,Anthropology (B.S.)
7,Arabic (B.A.)
8,Art History (B.A.)
9,Asian American Studies (B.A.)
10,Asian Humanities (B.A.)
11,Asian Languages and Linguistics (B.A.)
12,Asian Religions (B.A.)
13,Asian Studies (B.A.)
14,Astrophysics (B.S.)
15,Atmospheric and Oceanic Sciences (B.S.)
16,Atmospheric and Oceanic Sciences/Mathematics (B.S.)
17,Biochemistry (B.S.)
18,Biology (B.S.)
19,Biophysics (B.S.)
20,Business Economics (B.A.)
21,Central and East European Languages and Cultures (B.A.)
22,Chemistry (B.S.)
23,Chemistry/Materials Science (B.S.)
24,Chicana and Chicano Studies (B.A.)
25,Chinese (B.A.)
26,Classical Civilization (B.A.)
27,Climate Science (B.S.)
28,Cognitive Science (B.S.)
29,Communication (B.A.)
30,Comparative Literature (B.A.)
31,Computational and Systems Biology (B.S.)
32,Earth and Environmental Science (B.A.)
33,"Ecology, Behavior, and Evolution (B.S.)"
34,Economics (B.A.)
35,English (B.A.)
36,Environmental Science (B.S.)
37,European Languages and Transcultural Studies with French and Francophone (B.A.)
38,European Languages and Transcultural Studies with German (B.A.)
39,European Languages and Transcultural Studies with Italian (B.A.)
40,European Languages and Transcultural Studies with Scandinavian (B.A.)
41,European Studies (B.A.)
42,Gender Studies (B.A.)
43,Geography (B.A.)
44,Geography/Environmental Studies (B.A.)
45,Geology (B.S.)
46,Geology/Engineering Geology (B.S.)
47,Geophysics (B.S.)
48,Global Studies (B.A.)
49,Greek (B.A.)
50,Greek and Latin (B.A.)
51,History (B.A.)
52,Human Biology and Society (B.A.)
53,Human Biology and Society (B.S.)
54,International Development Studies (B.A.)
55,Iranian Studies (B.A.)
56,Japanese (B.A.)
57,Jewish Studies (B.A.)
58,Korean (B.A.)
59,Labor Studies (B.A.)
60,Latin (B.A.)
61,Latin American Studies (B.A.)
62,Linguistics (B.A.)
63,Linguistics and Anthropology (B.A.)
64,Linguistics and Asian Languages and Cultures (B.A.)
65,Linguistics and Computer Science (B.A.)
66,Linguistics and English (B.A.)
67,Linguistics and Philosophy (B.A.)
68,Linguistics and Psychology (B.A.)
69,Linguistics and Spanish (B.A.)
70,"Linguistics, Applied (B.A.)"
71,Marine Biology (B.S.)
72,Mathematics (B.S.)
73,"Mathematics, Applied (B.S.)"
74,Mathematics/Applied Science (B.S.)
75,"Mathematics, Data Theory (B.S.)"
76,Mathematics/Economics (B.S.)
77,"Mathematics, Financial Actuarial (B.S)"
78,Mathematics for Teaching (B.S.)
79,Mathematics of Computation (B.S.)
80,"Microbiology, Immunology, and Molecular Genetics (B.S.)"
81,Middle Eastern Studies (B.A.)
82,"Molecular, Cell, and Developmental Biology (B.S.)"
83,Neuroscience (B.S.)
84,Nordic Studies (B.A.)
85,Philosophy (B.A.)
86,Physics (B.A.)
87,Physics (B.S.)
88,Physiological Science (B.S.)
89,Political Science (B.A.)
90,Portuguese and Brazilian Studies (B.A.)
91,Psychobiology (B.S.)
92,Psychology (B.A.)
93,"Religion, Study of (B.A.)"
94,Russian Language and Literature (B.A.)
95,Russian Studies (B.A.)
96,Sociology (B.A.)
97,Southeast Asian Studies (B.A.)
98,Spanish (B.A.)
99,Spanish and Community and Culture (B.A.)
100,Spanish and Linguistics (B.A.)
101,Spanish and Portuguese (B.A.)
102,Statistics and Data Science (B.S.)
103,Architectural Studies (B.A.)
104,Art (B.A.)
105,Dance (B.A.)
106,Design | Media Arts (B.A.)
107,World Arts and Cultures (B.A.)
108,Aerospace Engineering (B.S.)
109,Bioengineering (B.S.)
110,Chemical Engineering (B.S.)
111,Civil Engineering (B.S.)
112,Computer Engineering (B.S.)
113,Computer Science (B.S.)
114,Computer Science and Engineering (B.S.)
115,Electrical Engineering (B.S.)
116,Materials Engineering (B.S.)
117,Mechanical Engineering (B.S.)
118,Ethnomusicology (B.A.)
119,Global Jazz Studies (B.A.)
120,Musicology (B.A.)
121,Music Composition (B.A.)
122,Music Education (B.A.)
123,Music History and Industry (B.A.)
124,Music Performance (B.M.)
125,Nursing - Prelicensure (B.S.)
126,Public Affairs (B.A.)
127,Film and Television (B.A.)
128,Theater (B.A.)
129,Education and Social Transformation (B.A.)
