Major,Link,Preparation for the Major,The Major
African American Studies (B.A.),https://newstudents.ucla.edu/studyarea/?id=40,,
African and Middle Eastern Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=49B,,
American Indian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=030,,
American Literature and Culture (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=761,,
Ancient Near East and Egyptology (B.A.),http://newstudents.ucla.edu/studyarea/?id=41,,
Anthropology (B.A.),http://newstudents.ucla.edu/studyarea/?id=42,,
Anthropology (B.S.),http://newstudents.ucla.edu/studyarea/?id=43,,
Arabic (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=081,,
Art History (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=093,,
Asian American Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=100,,
Asian Humanities (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=442,,
Asian Languages and Linguistics (B.A.),http://newstudents.ucla.edu/studyarea/?id=408,,
Asian Religions (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=443,,
Asian Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=241,,
Astrophysics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=101,,
Atmospheric and Oceanic Sciences (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=589,,
Atmospheric and Oceanic Sciences/Mathematics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=54B,,
Biochemistry (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=111,,
Biology (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=123,,
Biophysics (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=126,,
Business Economics (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=144,,
Central and East European Languages and Cultures (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=845,,
Chemistry (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=153,,
Chemistry/Materials Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=155,,
Chicana and Chicano Studies (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=626,,
Chinese (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=162,,
Classical Civilization (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=169,,
Climate Science (B.S.),http://newstudents.ucla.edu/studyarea/?id=414,,
Cognitive Science (B.S.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=179,,
Communication (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=181,,
Comparative Literature (B.A.),http://newstudents.ucla.edu/studyarea/?type=MAJ&code=192,,
